gpa,performance,_id,factor1,factor2,factor3,factor4,factor5
0,0,207403,0.75,0.51,0.14,0.24,0.29
13.57,13.32,217511,0.33,0.85,0.82,0.62,0.84
12.88,12.37,215636,0.33,0.2,0.94,0.73,0.43
11.96,11.12,213606,0.82,0.66,0.69,0.05,0.41
7.23,4.69,210830,0.1,0.11,0.75,0.95,0.13
14.8,14.8,216660,0.85,0.92,0.45,0.26,0.57
12.23,11.77,216276,0.25,0.9,0.36,0.97,0.9
12.02,11.43,214681,0.61,0.97,0.55,0.11,0.29
6.08,1.69,218958,0.17,0.86,0.34,0.8,0.52
5.2,2,201564,0.93,0.16,0.03,0.5,0.39
13.69,13.69,214717,0.96,0.11,0.57,0.04,0.75
15.75,15.75,216751,0.01,0.73,0.27,0.42,0.52
3.17,2,212590,0.68,0.46,0.21,0.29,0.78
14.22,14.22,211245,0.2,0.02,0.35,0.26,0.51
14.05,13.76,217391,0.56,0.57,0.13,0.83,0.74
13.14,12.86,213996,0.38,0.63,0.05,0.34,0.29
14.59,14.51,219497,0.29,0.39,0.67,0.18,0.83
12.3,12.16,214947,0.16,0.92,0.49,0.44,0.88
12.9,12.63,214222,0.51,0.39,0.52,0.13,0.33
13.43,13.3,216621,0.76,0.05,0.15,0.14,0.84
14.68,14.4,215494,0.82,0.02,0.5,0.57,0.81
9.77,7.23,212072,0.88,0.78,0.2,0.03,0.92
0.85,0.85,216904,0.24,0.36,0.6,0.34,0.49
10.27,8.76,217805,0.22,0.76,0.64,0.4,0.39
4.54,2.62,214111,0.03,0.7,0.96,0.23,0.69
14.74,14.48,212213,0.63,0.19,0.74,0.8,0.33
13.26,12.98,212650,0.98,0.79,0.91,0.53,0.02
13.42,13.42,211727,0.04,0.56,0.71,0.4,0.11
1.62,1.62,201620,0.51,0.39,0.76,0.01,0.81
13.14,12.6,213944,0.29,0.15,0.55,0.91,0.44
10.15,6.08,211808,0.43,0.37,0.26,0.24,0.03
12.32,11.89,214356,0.82,0.55,0.05,0.7,0.64
11.56,10.54,212442,0.28,0.79,0.98,0.04,0.84
9,5.08,211680,0.26,0.99,0.67,0.16,0.61
3,0,212174,0.23,0.88,0.93,0.88,0.35
15.46,15.46,212837,0.54,0.89,0.62,0.56,0.51
12.34,11.54,214646,0.06,0.48,0.58,0.64,0.76
9.05,5.79,216058,0.44,0.37,0.47,0.32,0.92
6.16,1.55,217887,0.34,0.86,0.55,0.65,0.16
4.77,1.92,211736,0.59,0.15,0.01,0.15,0.31
12.82,12.31,213995,0.95,0.58,0.96,0.77,0.14
14.01,14.01,213183,0.8,0.45,0.35,0.82,0.97
14.73,14.73,210814,0.68,0.89,0.38,0.63,0.92
12.91,12.66,213210,0.98,0.7,0.08,0.7,0.78
2.46,0.63,212846,0.96,0.58,0.76,0.08,0.82
4.15,2.85,214105,0.86,0.91,0.62,0.89,0.91
7.38,1.85,212215,0.64,0.77,0.32,0.55,0.05
13.61,13.61,213528,0.82,0.09,0.22,0.19,0.52
5.5,2.17,212069,0.33,0.03,0.8,0.28,0.93
12.93,12.93,212500,0.29,0.72,0.43,0.69,0.3
2.75,0.92,217297,0.55,0.38,0.67,0.23,0.51
6.47,3.19,214817,0.84,0.54,0.05,0.18,0.66
6.52,2.35,211723,0.31,0.86,0.91,0.68,0.81
13.13,13,213212,0.58,0.72,0.58,0.7,0.33
6.46,1.92,216063,0.41,0.77,0.05,0.21,0.18
14.55,14.55,217424,0.52,0.84,0.61,0.19,0
13.02,12.6,214423,0.26,0.47,0.93,0.29,0.08
0.55,0,200433,0.11,0.86,0.76,0.55,0.22
12.79,12.25,213801,0.01,0.56,0.03,0.31,0.35
14.52,14.25,212373,0.49,0.67,0.37,0.07,0.67
9.96,8.24,215167,0.72,0.75,0.48,0.79,0.22
7.83,2.33,215254,0.98,0.02,0.82,0.4,0.48
12.68,11.82,210498,0.5,0.45,0.2,0.66,0.52
12.08,11.04,210411,0.83,0.81,0.68,0.93,0.14
14.79,14.79,217206,0.64,0.86,0.22,0.26,0.82
12.65,11.9,215606,0.1,0.45,0.22,0.8,0.73
12.9,12.42,218264,0.48,0.36,0.12,0.28,0.92
16.07,16.07,210412,0.91,0.13,0.57,0.24,0.59
14.34,14.34,212251,0.04,0.57,0.21,0.59,0.41
7,2.33,212974,0.39,0.71,0.31,0.17,0.21
5.77,2.85,213151,0.19,0.26,0.5,0.06,0.75
6.25,0,199063,0.36,0.45,0.13,0.57,0.68
4.38,1.69,210452,0.65,0.43,0.03,0.74,0.09
4.92,2.38,212172,0.68,0.42,0.9,0.01,0.2
9,8.17,212257,0.89,0.35,0.43,0.97,0.44
8.77,5.87,211942,0.93,0.47,0.69,0.5,0.12
12.7,12.57,214562,0.79,0.32,0.81,0.85,0.58
0,0,179351,0.92,0.63,0.99,0.19,0.92
12.56,12.02,218537,0.48,0.4,0.66,0.43,0.35
12.15,11.33,215971,0.42,0.73,0.48,0.2,0.88
5.67,2.52,216634,0.09,0.4,0.14,0.03,0.77
13.97,13.97,213298,0.3,0.48,0.52,0.59,0.83
14.69,14.69,213127,0.44,0.11,0.11,0.04,0.47
12.79,12.79,214395,0.32,0.23,0.26,0.41,0.84
4.67,2,219482,0.41,0.36,0.25,0.26,0.14
7.08,2.46,215782,0.12,0.22,0.78,0.61,0.52
12.46,11.72,218397,0.15,0.63,0.94,0.69,0.53
2.85,1.69,217071,0.21,0.72,0.82,0.54,1
4.5,1.83,214672,0.09,0.77,0.91,0.92,0.7
