,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
0,0.0,0.0,,,0.0,,2609
1,0.0,13.6666666667,0.0,14.75,16.0,13.25,20000
2,,,,,,,106481
3,0.0,0.0,0.0,0.0,0.0,,114210
4,,,,,,0.0,162303
5,,,,,,,172036
6,0.0,0.0,0.0,15.0,0.0,,172828
7,,,,,,,174417
8,,,,,,,178435
9,0.0,,0.0,,,,179351
10,0.0,,,16.0,,,180664
11,,,,,11.0,,183106
12,,,,,,,187924
13,,14.0,0.0,,12.0,,188030
14,0.0,,0.0,,0.0,0.0,188508
15,,,,,11.0,,188892
16,,,,,12.0,,189411
17,10.5,12.0,0.0,13.0,0.0,,189672
18,,,,,,13.0,190307
19,,,,,,,190674
20,,,,,,,190676
21,,,,,0.0,13.0,190783
22,,,12.0,16.0,10.5,,191054
23,,,,,,,191063
24,,,,,,,191334
25,,,12.0,,0.0,,191365
26,0.0,11.0,0.0,,0.0,,191821
27,,,13.0,,12.0,,191900
28,,,,,,,191907
29,,,,,,13.5,192367
30,,,,,,,192631
31,,,,,,,192887
32,,,,,0.0,,193345
33,,,,,12.0,,193843
34,,,,,,,194223
35,,,,,13.0,,194607
36,,,,,14.0,,194975
37,,,,,,,195405
38,,10.0,0.0,,10.0,,195542
39,,,,,16.0,,198853
40,0.0,,0.0,,0.0,,199063
41,10.6666666667,12.0,14.6666666667,15.0,0.0,,199084
42,12.5,,0.0,17.0,13.5,12.2,199104
43,,,,,,,199557
44,,0.0,,,0.0,0.0,199587
45,14.0,,12.3333333333,16.0,0.0,,199651
46,,,,,10.0,,199734
47,15.0,13.0,14.6666666667,,15.0,,199820
48,11.5,14.0,12.0,15.0,11.0,0.0,199947
49,,,11.0,17.0,0.0,,199988
50,,,,,,,200062
51,0.0,12.0,0.0,15.0,12.5,,200141
52,0.0,10.0,0.0,13.0,10.5,,200277
53,11.5,0.0,0.0,14.0,14.6666666667,,200302
54,0.0,10.0,0.0,15.0,10.0,,200337
55,,,,,0.0,15.3333333333,200349
56,0.0,10.0,11.1428571429,12.25,12.1428571429,,200376
57,0.0,0.0,0.0,,0.0,,200433
58,,,14.5,16.0,11.0,,200640
59,,,,,,,200804
60,,,,,13.0,,200811
61,14.0,11.0,0.0,17.0,11.0,,200917
62,,,10.5,15.0,14.0,,200921
63,,,,,10.0,,201123
64,12.5,11.0,11.3333333333,15.0,,,201263
65,,,0.0,,12.0,,201330
66,0.0,,0.0,0.0,,,201336
67,0.0,,0.0,,0.0,,201564
68,,,12.6666666667,15.0,12.0,,201595
69,0.0,,15.0,13.0,10.0,,201603
70,0.0,,0.0,,10.0,,201609
